C.A.,año,tipo de cultivo,litros de agua
Cataluña,2000,Herbáceos,598928
Cataluña,2000,Frutales,372020
Cataluña,2000,Olivar y Viñedo,137695
Cataluña,2000,Patatas y hortalizas,46169
Cataluña,2000,Otros tipos de cultivos,451843
Cataluña,2001,Herbáceos,523568
Cataluña,2001,Frutales,343535
Cataluña,2001,Olivar y Viñedo,56332
Cataluña,2001,Patatas y hortalizas,55825
Cataluña,2001,Otros tipos de cultivos,475309
Cataluña,2002,Herbáceos,534703
Cataluña,2002,Frutales,278638
Cataluña,2002,Olivar y Viñedo,55649
Cataluña,2002,Patatas y hortalizas,29706
Cataluña,2002,Otros tipos de cultivos,520056
Cataluña,2003,Herbáceos,704237
Cataluña,2003,Frutales,318773
Cataluña,2003,Olivar y Viñedo,56163
Cataluña,2003,Patatas y hortalizas,47306
Cataluña,2003,Otros tipos de cultivos,355117
Cataluña,2004,Herbáceos,906375
Cataluña,2004,Frutales,472149
Cataluña,2004,Olivar y Viñedo,23542
Cataluña,2004,Patatas y hortalizas,51426
Cataluña,2004,Otros tipos de cultivos,51110
Cataluña,2005,Herbáceos,805422
Cataluña,2005,Frutales,463650
Cataluña,2005,Olivar y Viñedo,29618
Cataluña,2005,Patatas y hortalizas,47951
Cataluña,2005,Otros tipos de cultivos,76721
Cataluña,2006,Herbáceos,784537
Cataluña,2006,Frutales,459691
Cataluña,2006,Olivar y Viñedo,82048
Cataluña,2006,Patatas y hortalizas,23091
Cataluña,2006,Otros tipos de cultivos,71266
Cataluña,2007,Herbáceos,865352
Cataluña,2007,Frutales,467880
Cataluña,2007,Olivar y Viñedo,56896
Cataluña,2007,Patatas y hortalizas,34385
Cataluña,2007,Otros tipos de cultivos,20771
Cataluña,2008,Herbáceos,734213
Cataluña,2008,Frutales,414932
Cataluña,2008,Olivar y Viñedo,79036
Cataluña,2008,Patatas y hortalizas,40655
Cataluña,2008,Otros tipos de cultivos,68231
Cataluña,2009,Herbáceos,868131
Cataluña,2009,Frutales,444317
Cataluña,2009,Olivar y Viñedo,46345
Cataluña,2009,Patatas y hortalizas,40543
Cataluña,2009,Otros tipos de cultivos,48024
Cataluña,2010,Herbáceos,978115
Cataluña,2010,Frutales,404301
Cataluña,2010,Olivar y Viñedo,48081
Cataluña,2010,Patatas y hortalizas,43566
Cataluña,2010,Otros tipos de cultivos,46839
Cataluña,2011,Herbáceos,1265563
Cataluña,2011,Frutales,349328
Cataluña,2011,Olivar y Viñedo,41827
Cataluña,2011,Patatas y hortalizas,68095
Cataluña,2011,Otros tipos de cultivos,4960
Cataluña,2012,Herbáceos,1090200
Cataluña,2012,Frutales,220040
Cataluña,2012,Olivar y Viñedo,44294
Cataluña,2012,Patatas y hortalizas,64297
Cataluña,2012,Otros tipos de cultivos,10003
Cataluña,2013,Herbáceos,828303
Cataluña,2013,Frutales,196027
Cataluña,2013,Olivar y Viñedo,51628
Cataluña,2013,Patatas y hortalizas,29532
Cataluña,2013,Otros tipos de cultivos,4749
Cataluña,2014,Herbáceos,627660
Cataluña,2014,Frutales,261659
Cataluña,2014,Olivar y Viñedo,59426
Cataluña,2014,Patatas y hortalizas,35640
Cataluña,2014,Otros tipos de cultivos,5943
Cataluña,2015,Herbáceos,679251
Cataluña,2015,Frutales,152619
Cataluña,2015,Olivar y Viñedo,55584
Cataluña,2015,Patatas y hortalizas,48989
Cataluña,2015,Otros tipos de cultivos,6239
Cataluña,2016,Herbáceos,725766
Cataluña,2016,Frutales,173747
Cataluña,2016,Olivar y Viñedo,57585
Cataluña,2016,Patatas y hortalizas,29785
Cataluña,2016,Otros tipos de cultivos,6505
Comunitat Valenciana,2000,Herbáceos,388903
Comunitat Valenciana,2000,Frutales,1394741
Comunitat Valenciana,2000,Olivar y Viñedo,67570
Comunitat Valenciana,2000,Patatas y hortalizas,4965
Comunitat Valenciana,2000,Otros tipos de cultivos,129777
Comunitat Valenciana,2001,Herbáceos,338069
Comunitat Valenciana,2001,Frutales,857009
Comunitat Valenciana,2001,Olivar y Viñedo,87876
Comunitat Valenciana,2001,Patatas y hortalizas,103832
Comunitat Valenciana,2001,Otros tipos de cultivos,525505
Comunitat Valenciana,2002,Herbáceos,288214
Comunitat Valenciana,2002,Frutales,711508
Comunitat Valenciana,2002,Olivar y Viñedo,44104
Comunitat Valenciana,2002,Patatas y hortalizas,135376
Comunitat Valenciana,2002,Otros tipos de cultivos,674348
Comunitat Valenciana,2003,Herbáceos,367624
Comunitat Valenciana,2003,Frutales,776674
Comunitat Valenciana,2003,Olivar y Viñedo,58557
Comunitat Valenciana,2003,Patatas y hortalizas,123709
Comunitat Valenciana,2003,Otros tipos de cultivos,503297
Comunitat Valenciana,2004,Herbáceos,146573
Comunitat Valenciana,2004,Frutales,1394510
Comunitat Valenciana,2004,Olivar y Viñedo,121057
Comunitat Valenciana,2004,Patatas y hortalizas,55990
Comunitat Valenciana,2004,Otros tipos de cultivos,28278
Comunitat Valenciana,2005,Herbáceos,152800
Comunitat Valenciana,2005,Frutales,1156249
Comunitat Valenciana,2005,Olivar y Viñedo,113816
Comunitat Valenciana,2005,Patatas y hortalizas,86361
Comunitat Valenciana,2005,Otros tipos de cultivos,92998
Comunitat Valenciana,2006,Herbáceos,181405
Comunitat Valenciana,2006,Frutales,1164218
Comunitat Valenciana,2006,Olivar y Viñedo,112413
Comunitat Valenciana,2006,Patatas y hortalizas,57707
Comunitat Valenciana,2006,Otros tipos de cultivos,31359
Comunitat Valenciana,2007,Herbáceos,182012
Comunitat Valenciana,2007,Frutales,1069390
